election_number,date,candidates,perks,mayor,minister
263,"March 2, 2023","Aatrox,Cole,Foxy,Marina,Paul","Perks.SlashedPricing,Perks.Pathfinder,Perks.MiningXPBuff,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.FishingFestival,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.Benediction,Perks.Marauder,Perks.EZPZ",Paul,Marina
264,"March 7, 2023","Aatrox,Cole,Diana,Foxy,Scorpius","Perks.Pathfinder,Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Lucky,Perks.ExtraEventSpooky_Festival,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Aatrox
265,"March 12, 2023","Diana,Diaz,Finnegan,Marina,Paul","Perks.Lucky,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.BloomingBusiness,Perks.FishingXPBuff,Perks.FishingFestival,Perks.LuckOfTheSea,Perks.Benediction",Marina,Diana
266,"March 18, 2023","Aatrox,Cole,Diana,Foxy,Paul","Perks.SlashedPricing,Perks.Pathfinder,Perks.SlayerXPBuff,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.MythologicalRitual,Perks.Lucky,Perks.PetXPBuff,Perks.ExtraEventFishing_Festival,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.Benediction,Perks.Marauder",Aatrox,Diana
267,"March 23, 2023","Cole,Diana,Diaz,Marina,Paul","Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Prospection,Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.LuckOfTheSea,Perks.Marauder,Perks.Benediction,Perks.EZPZ",Diana,Cole
268,"March 28, 2023","Aatrox,Cole,Diaz,Finnegan,Paul","Perks.SlashedPricing,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Prospection,Perks.LongTermInvestment,Perks.BloomingBusiness,Perks.Marauder,Perks.Benediction,Perks.EZPZ",Paul,Cole
269,"April 2, 2023","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.LuckOfTheSea",Aatrox,Foxy
270,"April 7, 2023","Cole,Diana,Diaz,Finnegan,Foxy","Perks.MiningFiesta,Perks.MiningXPBuff,Perks.Prospection,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.BloomingBusiness,Perks.GOATed,Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence",Cole,Finnegan
271,"April 12, 2023","Aatrox,Diana,Finnegan,Marina,Paul","Perks.Pathfinder,Perks.MythologicalRitual,Perks.Lucky,Perks.BloomingBusiness,Perks.GOATed,Perks.PeltPocalypse,Perks.LuckOfTheSea,Perks.Benediction",Finnegan,Diana
272,"April 18, 2023","Derpy,Diaz,Foxy,Marina,Paul","Perks.QuadTaxes,Perks.TurboMinions,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.LuckOfTheSea,Perks.Benediction,Perks.Marauder",Derpy,Paul
