election_number,date,candidates,perks,mayor,minister
273,"April 23, 2023","Aatrox,Diana,Diaz,Foxy,Paul","Perks.Pathfinder,Perks.SlayerXPBuff,Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.Marauder,Perks.Benediction,Perks.EZPZ",Paul,Diana
274,"April 28, 2023","Aatrox,Diaz,Finnegan,Foxy,Marina","Perks.Pathfinder,Perks.SlayerXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.LuckOfTheSea,Perks.FishingFestival",Aatrox,Marina
275,"May 3, 2023","Diana,Diaz,Finnegan,Foxy,Paul","Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.Benediction",Diana,Finnegan
276,"May 8, 2023","Cole,Diaz,Finnegan,Marina,Paul","Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.GOATed,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Benediction",Finnegan,Marina
277,"May 13, 2023","Aatrox,Diana,Diaz,Marina,Paul","Perks.SlayerXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival,Perks.LuckOfTheSea,Perks.FishingXPBuff,Perks.Benediction,Perks.EZPZ",Marina,Paul
278,"May 19, 2023","Aatrox,Diana,Finnegan,Foxy,Paul","Perks.SlayerXPBuff,Perks.SlashedPricing,Perks.Lucky,Perks.PeltPocalypse,Perks.ExtraEventSpooky_Festival,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.EZPZ,Perks.Benediction,Perks.Marauder",Paul,Aatrox
279,"May 24, 2023","Aatrox,Cole,Diana,Diaz,Marina","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder,Perks.MiningFiesta,Perks.Lucky,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival",Aatrox,Cole
280,"May 29, 2023","Cole,Diana,Diaz,Jerry,Paul","Perks.MiningFiesta,Perks.MiningXPBuff,Perks.Lucky,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.Benediction",Jerry,Cole
281,"June 3, 2023","Aatrox,Cole,Diana,Marina,Paul","Perks.SlashedPricing,Perks.MiningFiesta,Perks.MiningXPBuff,Perks.Prospection,Perks.Lucky,Perks.PetXPBuff,Perks.FishingFestival,Perks.Benediction,Perks.Marauder",Cole,Paul
282,"June 8, 2023","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Lucky,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.FishingFestival",Aatrox,Foxy
283,"June 13, 2023","Cole,Diaz,Foxy,Marina,Paul","Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.FishingFestival,Perks.FishingXPBuff,Perks.Benediction,Perks.Marauder",Marina,Paul
284,"June 19, 2023","Diana,Diaz,Finnegan,Foxy,Paul","Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.EZPZ,Perks.Benediction",Diana,Finnegan
285,"June 24, 2023","Cole,Diaz,Foxy,Marina,Paul","Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.EZPZ,Perks.Benediction",Paul,Foxy
286,"June 29, 2023","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlayerXPBuff,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff",Diana,Foxy
287,"July 4, 2023","Aatrox,Cole,Finnegan,Foxy,Marina","Perks.SlayerXPBuff,Perks.Prospection,Perks.MiningXPBuff,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.LuckOfTheSea",Finnegan,Aatrox
288,"July 9, 2023","Aatrox,Cole,Diaz,Foxy,Scorpius","Perks.SlayerXPBuff,Perks.Prospection,Perks.MiningXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Aatrox
289,"July 14, 2023","Aatrox,Diana,Finnegan,Marina,Paul","Perks.SlayerXPBuff,Perks.MythologicalRitual,Perks.GOATed,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.EZPZ",Marina,Aatrox
290,"July 20, 2023","Cole,Diana,Diaz,Finnegan,Foxy","Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving",Cole,Diana
292,"July 30, 2023","Aatrox,Cole,Finnegan,Foxy,Marina","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.MiningFiesta,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival",Aatrox,Finnegan
293,"August 4, 2023","Cole,Diana,Foxy,Marina,Paul","Perks.MiningFiesta,Perks.PetXPBuff,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Marauder,Perks.EZPZ",Paul,Marina
294,"August 9, 2023","Cole,Diana,Diaz,Finnegan,Foxy","Perks.Prospection,Perks.MiningFiesta,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving",Diana,Finnegan
295,"August 14, 2023","Aatrox,Cole,Diaz,Foxy,Paul","Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Benediction",Cole,Aatrox
296,"August 20, 2023","Derpy,Diana,Diaz,Foxy,Marina","Perks.TurboMinions,Perks.QuadTaxes,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival",Derpy,Marina
297,"August 25, 2023","Aatrox,Diaz,Finnegan,Foxy,Marina","Perks.Pathfinder,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival",Finnegan,Marina
298,"August 30, 2023","Cole,Diana,Diaz,Marina,Paul","Perks.MiningFiesta,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Benediction",Diana,Marina
299,"September 4, 2023","Cole,Diaz,Finnegan,Marina,Paul","Perks.Prospection,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.GOATed,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Benediction",Marina,Cole
300,"September 9, 2023","Aatrox,Cole,Finnegan,Foxy,Paul","Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.PeltPocalypse,Perks.GOATed,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.EZPZ,Perks.Benediction",Cole,Paul
301,"September 14, 2023","Diana,Finnegan,Foxy,Marina,Paul","Perks.MythologicalRitual,Perks.PeltPocalypse,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingFestival,Perks.EZPZ,Perks.Benediction",Paul,Finnegan
302,"September 20, 2023","Aatrox,Cole,Diana,Finnegan,Marina","Perks.Pathfinder,Perks.Prospection,Perks.MythologicalRitual,Perks.PeltPocalypse,Perks.GOATed,Perks.LuckOfTheSea,Perks.FishingFestival",Marina,Finnegan
303,"September 25, 2023","Cole,Diana,Finnegan,Foxy,Paul","Perks.Prospection,Perks.MiningXPBuff,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.PeltPocalypse,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Marauder",Diana,Finnegan
304,"September 30, 2023","Aatrox,Cole,Diaz,Jerry,Marina","Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.LuckOfTheSea",Jerry,Cole
305,"October 5, 2023","Aatrox,Cole,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival",Aatrox,Cole
306,"October 10, 2023","Cole,Diana,Diaz,Marina,Paul","Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Marauder,Perks.Benediction",Cole,Paul
307,"October 15, 2023","Aatrox,Diaz,Foxy,Marina,Paul","Perks.SlashedPricing,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Marauder,Perks.Benediction",Marina,Paul
308,"October 21, 2023","Aatrox,Diaz,Finnegan,Foxy,Paul","Perks.SlashedPricing,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.GOATed,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Marauder,Perks.Benediction",Paul,Foxy
309,"October 26, 2023","Aatrox,Cole,Diana,Foxy,Marina","Perks.SlashedPricing,Perks.Prospection,Perks.Lucky,Perks.PetXPBuff,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff",Foxy,Diana
310,"October 31, 2023","Diana,Diaz,Finnegan,Marina,Paul","Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.FishingXPBuff,Perks.Marauder",Diana,Finnegan
311,"November 5, 2023","Aatrox,Finnegan,Foxy,Marina,Paul","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.FishingFestival,Perks.Marauder",Aatrox,Finnegan
312,"November 10, 2023","Cole,Diana,Diaz,Finnegan,Scorpius","Perks.Prospection,Perks.MiningFiesta,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Cole
313,"November 15, 2023","Aatrox,Cole,Foxy,Marina,Paul","Perks.SlayerXPBuff,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.ExtraEventSpooky_Festival,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Marauder,Perks.Benediction",Cole,Marina
314,"November 21, 2023","Diana,Diaz,Finnegan,Foxy,Paul","Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Marauder,Perks.Benediction",Finnegan,Paul
315,"November 26, 2023","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival",Marina,Aatrox
316,"December 1, 2023","Aatrox,Cole,Diaz,Finnegan,Paul","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.GOATed,Perks.Marauder,Perks.EZPZ,Perks.Benediction",Paul,Aatrox
317,"December 6, 2023","Aatrox,Cole,Finnegan,Foxy,Marina","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder,Perks.Prospection,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingFestival",Aatrox,Foxy
318,"December 11, 2023","Diana,Diaz,Finnegan,Foxy,Paul","Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Benediction",Diana,Foxy
319,"December 16, 2023","Aatrox,Cole,Finnegan,Foxy,Marina","Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.GOATed,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.FishingFestival",Marina,Foxy
320,"December 22, 2023","Aatrox,Cole,Derpy,Diaz,Foxy","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.TurboMinions,Perks.QuadTaxes,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving",Derpy,Aatrox
321,"December 27, 2023","Diaz,Finnegan,Foxy,Marina,Paul","Perks.LongTermInvestment,Perks.VolumeTrading,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.Benediction",Foxy,Diaz
322,"January 1, 2024","Aatrox,Cole,Diaz,Marina,Paul","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.LuckOfTheSea,Perks.Benediction",Cole,Aatrox
323,"January 6, 2024","Aatrox,Diana,Diaz,Finnegan,Marina","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.GOATed,Perks.LuckOfTheSea",Aatrox,Diana
324,"January 11, 2024","Cole,Diaz,Foxy,Marina,Paul","Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.SweetBenevolence,Perks.LuckOfTheSea,Perks.EZPZ,Perks.Benediction",Paul,Cole
325,"January 16, 2024","Aatrox,Cole,Diana,Foxy,Marina","Perks.SlashedPricing,Perks.MiningFiesta,Perks.MythologicalRitual,Perks.SweetBenevolence,Perks.LuckOfTheSea",Diana,Cole
326,"January 22, 2024","Aatrox,Cole,Finnegan,Foxy,Paul","Perks.SlashedPricing,Perks.MiningFiesta,Perks.PeltPocalypse,Perks.GOATed,Perks.SweetBenevolence,Perks.EZPZ",Cole,Finnegan
327,"January 27, 2024","Aatrox,Finnegan,Foxy,Marina,Paul","Perks.SlashedPricing,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.SweetBenevolence,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.EZPZ,Perks.Benediction",Paul,Finnegan
328,"February 1, 2024","Cole,Diana,Finnegan,Jerry,Marina","Perks.Prospection,Perks.MythologicalRitual,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.LuckOfTheSea,Perks.FishingFestival",Jerry,Marina
329,"February 6, 2024","Aatrox,Diana,Diaz,Marina,Paul","Perks.SlashedPricing,Perks.Pathfinder,Perks.Lucky,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.EZPZ",Aatrox,Diana
330,"February 11, 2024","Cole,Diaz,Finnegan,Marina,Paul","Perks.Prospection,Perks.MiningXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.EZPZ",Marina,Finnegan
331,"February 16, 2024","Cole,Diana,Diaz,Finnegan,Paul","Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Lucky,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.EZPZ",Cole,Diana
332,"February 22, 2024","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff",Diana,Aatrox
333,"February 27, 2024","Aatrox,Cole,Diaz,Marina,Paul","Perks.SlashedPricing,Perks.Pathfinder,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff,Perks.Marauder,Perks.EZPZ",Paul,Aatrox
334,"March 3, 2024","Aatrox,Diana,Finnegan,Foxy,Marina","Perks.SlashedPricing,Perks.Pathfinder,Perks.PetXPBuff,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.FishingFestival",Aatrox,Finnegan
335,"March 8, 2024","Cole,Diaz,Finnegan,Foxy,Paul","Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.EZPZ",Finnegan,Foxy
336,"March 13, 2024","Aatrox,Diana,Foxy,Paul,Scorpius","Perks.SlashedPricing,Perks.PetXPBuff,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.EZPZ,Perks.Benediction,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Paul
337,"March 18, 2024","Aatrox,Diana,Diaz,Finnegan,Marina","Perks.SlashedPricing,Perks.Pathfinder,Perks.Lucky,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.BloomingBusiness,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival",Marina,Aatrox
338,"March 24, 2024","Cole,Diana,Diaz,Finnegan,Foxy","Perks.Prospection,Perks.MiningXPBuff,Perks.Lucky,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving",Foxy,Finnegan
339,"March 29, 2024","Aatrox,Diana,Diaz,Marina,Paul","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder,Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival,Perks.Marauder,Perks.EZPZ,Perks.Benediction",Diana,Aatrox
340,"April 3, 2024","Aatrox,Diaz,Finnegan,Marina,Paul","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.FishingFestival,Perks.Marauder,Perks.EZPZ,Perks.Benediction",Aatrox,Paul
341,"April 8, 2024","Cole,Diana,Finnegan,Foxy,Marina","Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.PetXPBuff,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.SweetBenevolence,Perks.FishingXPBuff,Perks.FishingFestival",Cole,Marina
342,"April 13, 2024","Aatrox,Diaz,Finnegan,Foxy,Marina","Perks.SlashedPricing,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival",Marina,Finnegan
343,"April 18, 2024","Aatrox,Diaz,Finnegan,Foxy,Paul","Perks.SlashedPricing,Perks.Pathfinder,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Marauder,Perks.EZPZ,Perks.Benediction",Paul,Aatrox
344,"April 24, 2024","Derpy,Diana,Diaz,Finnegan,Foxy","Perks.TurboMinions,Perks.QuadTaxes,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving",Derpy,Finnegan
345,"April 29, 2024","Aatrox,Cole,Diaz,Finnegan,Foxy","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving",Aatrox,Finnegan
346,"May 4, 2024","Cole,Diana,Finnegan,Foxy,Paul","Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Lucky,Perks.PetXPBuff,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.EZPZ",Cole,Finnegan
347,"May 9, 2024","Aatrox,Diaz,Foxy,Marina,Paul","Perks.Pathfinder,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.EZPZ",Paul,Foxy
348,"May 14, 2024","Aatrox,Cole,Diana,Finnegan,Foxy","Perks.Pathfinder,Perks.Prospection,Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving",Diana,Finnegan
349,"May 19, 2024","Aatrox,Cole,Diaz,Foxy,Paul","Perks.SlashedPricing,Perks.Pathfinder,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.EZPZ",Aatrox,Foxy
350,"May 25, 2024","Diaz,Finnegan,Foxy,Marina,Paul","Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.EZPZ",Finnegan,Paul
351,"May 30, 2024","Cole,Diana,Foxy,Marina,Paul","Perks.Prospection,Perks.MythologicalRitual,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.EZPZ",Diana,Foxy
352,"June 4, 2024","Diaz,Foxy,Jerry,Marina,Paul","Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.LuckOfTheSea,Perks.EZPZ,Perks.Benediction",Jerry,Paul
353,"June 9, 2024","Diana,Finnegan,Foxy,Marina,Paul","Perks.PetXPBuff,Perks.BloomingBusiness,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.EZPZ,Perks.Benediction",Paul,Foxy
354,"June 14, 2024","Aatrox,Diana,Diaz,Finnegan,Marina","Perks.SlayerXPBuff,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.LuckOfTheSea",Aatrox,Finnegan
355,"June 19, 2024","Cole,Diana,Diaz,Foxy,Paul","Perks.Prospection,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.Benediction",Foxy,Diana
356,"June 25, 2024","Cole,Diana,Finnegan,Marina,Paul","Perks.Prospection,Perks.PetXPBuff,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.GOATed,Perks.LuckOfTheSea,Perks.EZPZ,Perks.Benediction",Paul,Finnegan
357,"June 30, 2024","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival",Marina,Aatrox
358,"July 5, 2024","Cole,Diana,Diaz,Foxy,Paul","Perks.Prospection,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.ShoppingSpree,Perks.StockExchange,Perks.SweetBenevolence,Perks.Benediction",Diaz,Diana
